epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.608,2.31729,2.98337,2.28257,0.00056,0.09342,0.0003,7e-05,4.08293,9172.22,284.549,0.0705455,0.00327273,0.00327273
2,198.558,2.56986,2.8928,2.47756,0.00027,0.07006,0.00016,4e-05,4.31045,16380.5,80.6886,0.0398915,0.00595206,0.00595206
3,329.186,2.49188,2.73972,2.39261,0.00044,0.0828,0.00024,6e-05,3.68577,2043.15,22.1537,0.00857745,0.00797139,0.00797139
4,465.352,2.44851,2.49924,2.36387,0.00179,0.18047,0.00106,0.00028,3.77327,381.973,7.15454,0.00703,0.00703,0.00703
5,613.586,2.33452,2.3883,2.29971,0.01287,0.05096,0.00817,0.0017,3.81136,4.78517,5.03816,0.00604,0.00604,0.00604
6,810.664,2.2427,2.23797,2.21457,0.25138,0.154,0.08083,0.02496,2.75793,2.52697,2.34643,0.00505,0.00505,0.00505
7,1001.25,2.16499,2.17941,2.11339,0.29185,0.19958,0.13657,0.04127,2.50026,2.79556,2.17541,0.00406,0.00406,0.00406
8,1190.17,2.06167,2.05314,2.07739,0.4338,0.32696,0.28238,0.07887,2.45792,2.11809,2.15098,0.00307,0.00307,0.00307
9,1371.5,1.97417,1.98825,2.01486,0.59578,0.42038,0.42631,0.1567,2.31045,1.84052,1.99589,0.00208,0.00208,0.00208
10,1535.98,1.98546,1.89706,2.01182,0.58597,0.50106,0.49964,0.18223,2.33668,1.67536,1.98151,0.00109,0.00109,0.00109
