epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,552.176,1.57807,1.3119,1.66083,0.19677,0.69822,0.18655,0.08749,1.79159,4.51079,1.51864,0.0701571,0.00331588,0.00331588
2,1000.03,1.56728,1.27787,1.65056,0.8258,0.75737,0.81258,0.27177,2.25985,1.35463,1.70371,0.0397182,0.00621037,0.00621037
3,1479.29,1.54753,1.23707,1.62859,0.89478,0.8284,0.90411,0.30598,2.23785,1.50139,1.72979,0.00883937,0.00866485,0.00866485
4,1940.68,1.55424,1.2818,1.64382,0.78027,0.79846,0.84287,0.40419,1.69194,1.26045,1.48739,0.00802,0.00802,0.00802
5,2433.46,1.46834,1.19633,1.55529,0.83964,0.8675,0.92643,0.48925,1.53893,1.1147,1.3637,0.00736,0.00736,0.00736
6,2954.87,1.35024,1.04741,1.54767,0.87529,0.62299,0.78877,0.4877,1.44547,1.2867,1.35191,0.0067,0.0067,0.0067
7,3503.55,1.32249,0.9948,1.55063,0.82117,0.68047,0.70886,0.42436,1.39011,1.2383,1.32312,0.00604,0.00604,0.00604
8,3977.75,1.29894,0.93403,1.50716,0.88662,0.7929,0.87723,0.44645,1.72592,1.00518,1.37189,0.00538,0.00538,0.00538
9,4546.54,1.28722,0.90857,1.5033,0.90529,0.85799,0.93625,0.3816,1.92468,1.0643,1.5335,0.00472,0.00472,0.00472
10,5205.35,1.22511,0.88756,1.44742,0.96446,0.84615,0.91613,0.38821,1.93972,1.16383,1.50214,0.00406,0.00406,0.00406
